Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.93911,67.709953,10/10/20,33064,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/9/20,33058,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/8/20,33058,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/7/20,33045,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/6/20,32977,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/5/20,32879,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/4/20,32852,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/3/20,32842,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/2/20,32842,AFG,142,34,
,Afghanistan,33.93911,67.709953,10/1/20,32842,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/30/20,32789,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/29/20,32746,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/28/20,32642,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/27/20,32642,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/26/20,32635,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/25/20,32619,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/24/20,32619,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/23/20,32610,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/22/20,32576,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/21/20,32576,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/20/20,32576,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/19/20,32576,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/18/20,32576,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/17/20,32505,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/16/20,32503,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/15/20,32098,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/14/20,32073,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/13/20,31638,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/12/20,31234,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/11/20,31154,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/10/20,31129,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/9/20,31048,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/8/20,30715,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/7/20,30557,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/6/20,30537,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/5/20,30082,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/4/20,29713,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/3/20,29390,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/2/20,29315,AFG,142,34,
,Afghanistan,33.93911,67.709953,9/1/20,29231,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/31/20,29089,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/30/20,29089,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/29/20,29063,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/28/20,29059,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/27/20,29046,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/26/20,29042,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/25/20,28440,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/24/20,28360,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/23/20,28180,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/22/20,28016,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/21/20,28016,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/20/20,27681,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/19/20,27166,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/18/20,27166,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/17/20,27166,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/16/20,27166,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/15/20,27166,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/14/20,26714,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/13/20,26714,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/12/20,26694,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/11/20,26415,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/10/20,26228,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/9/20,25960,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/8/20,25960,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/7/20,25903,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/6/20,25840,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/5/20,25742,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/4/20,25669,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/3/20,25669,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/2/20,25510,AFG,142,34,
,Afghanistan,33.93911,67.709953,8/1/20,25509,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/31/20,25509,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/30/20,25471,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/29/20,25389,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/28/20,25358,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/27/20,25198,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/26/20,25180,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/25/20,24793,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/24/20,24602,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/23/20,24550,AFG,142,34,
